DistrictId,SourceUrl,SourceFile,FiscalYear,FteType,GradeLevel,Fte
5,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,1,5008.52978515625
6,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,1,16871.69921875
7,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,1,187.7899932861328
8,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,1,1092.719970703125
9,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,1,1167.5699462890625
10,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,1,2572.25
11,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,1,3542
12,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,1,824.489990234375
13,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,1,22504.16015625
14,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,1,403.7900085449219
15,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,1,148.7899932861328
16,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,1,10347.099609375
17,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,1,3477.139892578125
18,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,1,846.52001953125
19,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,1,80.5
20,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,1,487.2300109863281
21,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,1,215.30999755859375
22,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,1,150.69000244140625
23,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,1,140
24,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,1,154
25,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,1,489.32000732421875
26,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,1,645.1500244140625
27,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,1,1679.93994140625
28,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,1,1063.6099853515625
29,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,1,15798.919921875
30,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,1,300.79998779296875
31,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,1,1196.1800537109375
32,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,1,540.6500244140625
33,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,1,89.5
34,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,1,86
35,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,1,3010.760009765625
36,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,1,6048.72021484375
